,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-3.382358037,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-3.144467252,-1.37287223,-3.586577109,-2.218696223,-2.383915279,-1.837470279,-2.185928562,-2.068826356,-2.748252355,-1.564578851,-2.665701271,-2.922918724,-2.630398745,-2.703909589,-2.166343107,-2.422481024,-5.470209928,-2.546114326,-2.632914053,-2.552642023,-2.505702399,-2.073646978,-1.925582374,-6.430851774,-3.68181731,1499,1264,1276,919,1463,822,578,712,51,992,1245,88,949,749,527,103,46,322,1493,174,1282,911,400,596,350,1033,1334,0,1364,63,-1.726567257,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-2.547119373,-2.460220484,-2.703909589,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-2.833695005,-1.787220046,471,1264,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,1149,654,1493,121,312,528,456,454,561,1033,1334,0,814,868
3,-2.399363593,-1.505395294,-2.541779335,-5.173172912,-4.52082021,-2.664550546,-2.954290501,-2.976196142,-1.284082634,-3.657507088,-2.004604151,-2.924568119,-5.014799718,-2.509692193,-4.733663896,-3.122049631,-1.947962141,-2.38521955,-4.066660563,-1.046522188,-6.312871604,-2.914396274,-2.40942878,-2.528392066,-2.956042002,-3.877797257,-2.773608296,-3.89449011,-1.535929938,-4.140077836,54,330,69,1042,1474,669,937,638,579,1170,1306,907,1243,539,876,346,30,1349,726,525,1394,871,612,443,1411,415,902,918,240,1084,-1.726567257,-1.505395294,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-1.947962141,-2.38521955,-2.703909589,-1.046522188,-2.176781929,-2.914396274,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,30,1349,1493,525,312,871,456,454,561,1033,1334,0,240,868
4,-2.956042002,-2.38521955,-2.278642078,-3.203924453,-1.721489566,-2.553421628,-2.413493094,-1.726567257,-2.327331852,-3.655430986,-4.269219942,-2.833695005,-3.951881251,-3.122015461,-1.357485488,-2.087637354,-3.06197083,-4.717483959,-2.399363593,-4.71406498,-3.435310549,-1.453802754,-5.470209928,-2.740149933,-2.765788473,-6.213538145,-2.544751815,-3.712975289,-2.685571282,-2.777605412,1411,1349,272,581,574,1187,1163,471,238,1068,1031,814,101,566,594,883,1060,1342,54,1082,953,500,911,1158,1437,1379,985,781,91,1107,-1.726567257,-1.505395294,-1.684741042,-2.928561743,-1.721489566,-2.553421628,-1.37287223,-1.726567257,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.357485488,-2.087637354,-1.947962141,-2.38521955,-2.399363593,-1.046522188,-2.176781929,-1.453802754,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,919,574,1187,578,471,437,257,1245,576,949,5,594,883,30,1349,54,525,312,500,456,454,561,1033,1334,0,240,868
5,-3.966228754,-3.475270983,-3.844890328,-3.468889322,-5.559679346,-6.225274203,-0.855585745,-2.547119373,-2.873536887,-2.821455457,-2.824165562,-3.660407885,-2.926260157,-2.388344083,-1.997087323,-3.192730273,-2.361937725,-5.037796958,-3.256894445,-3.869028438,-3.79609895,-2.306266922,-2.835613517,-2.246285609,-4.253348596,-2.865433941,-1.187106789,-2.044481862,-2.941782485,-3.712053706,1157,774,363,859,521,1382,510,1149,157,799,267,821,194,565,979,1088,550,1196,1451,1012,453,535,133,1274,813,1195,575,95,842,769,-1.726567257,-1.505395294,-1.684741042,-2.928561743,-1.721489566,-2.553421628,-0.855585745,-1.726567257,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.357485488,-2.087637354,-1.947962141,-2.38521955,-2.399363593,-1.046522188,-2.176781929,-1.453802754,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-1.187106789,-1.925582374,-1.535929938,-1.787220046,471,330,1276,919,574,1187,510,471,437,257,1245,576,949,5,594,883,30,1349,54,525,312,500,456,454,561,1033,575,0,240,868
6,-2.00528747,-3.376627808,-5.32109943,-2.014074416,-2.296886136,-2.394477238,-2.928561743,-2.757187326,-2.127573991,-2.75809244,-1.765501018,-3.917583995,-3.481689573,-2.350533892,-2.686553599,-2.679633741,-1.44737099,-2.865433941,-5.239655232,-4.222441595,-2.474971585,-2.448246101,-2.246285609,-2.686553599,-3.561036767,-3.553779652,-3.215335703,-1.746519561,-1.726567257,-2.767833671,737,1038,1476,456,58,344,919,392,946,1439,1249,618,1343,524,508,1345,1336,1195,1094,1059,1333,932,1274,508,709,1416,745,2,471,1137,-1.726567257,-1.505395294,-1.684741042,-2.014074416,-1.721489566,-2.394477238,-0.855585745,-1.726567257,-1.167525906,-2.020973782,-1.765501018,-1.622663376,-2.068826356,-2.111448645,-1.357485488,-2.087637354,-1.44737099,-2.38521955,-2.399363593,-1.046522188,-2.176781929,-1.453802754,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-1.187106789,-1.746519561,-1.535929938,-1.787220046,471,330,1276,456,574,344,510,471,437,257,1249,576,949,5,594,883,1336,1349,54,525,312,500,456,454,561,1033,575,2,240,868
7,-2.552815848,-2.481686926,-4.492453508,-1.778137204,-2.747599908,-3.043232363,-3.588111235,-2.740149933,-2.762618006,-3.456714164,-2.970748855,-3.885903694,-2.777985809,-5.133468771,-3.338945391,-5.330596036,-2.750403472,-2.382340237,-2.835773903,-2.463131488,-1.446164794,-3.436498003,-3.218611415,-5.220396692,-3.434478776,-3.215632733,-3.070704504,-2.46637281,-1.573660201,-3.348976438,175,1285,779,1209,805,432,1392,1158,412,1421,890,751,1035,1380,478,1192,588,199,457,80,569,252,1419,1091,598,1315,116,1270,526,958,-1.726567257,-1.505395294,-1.684741042,-1.778137204,-1.721489566,-2.394477238,-0.855585745,-1.726567257,-1.167525906,-2.020973782,-1.765501018,-1.622663376,-2.068826356,-2.111448645,-1.357485488,-2.087637354,-1.44737099,-2.382340237,-2.399363593,-1.046522188,-1.446164794,-1.453802754,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-1.187106789,-1.746519561,-1.535929938,-1.787220046,471,330,1276,1209,574,344,510,471,437,257,1249,576,949,5,594,883,1336,199,54,525,569,500,456,454,561,1033,575,2,240,868
8,-4.980311692,-3.607009508,-2.753578723,-4.535190103,-2.546571938,-2.719674897,-1.884704043,-2.2902191,-3.228670362,-2.961094455,-2.444771895,-1.107439108,-4.673213588,-2.807407945,-2.907701583,-2.399152888,-2.934571294,-2.183293065,-1.746519561,-1.446164794,-1.893968722,-2.382449281,-3.712068617,-1.541177265,-1.888531482,-2.511808647,-1.352127418,-3.156241701,-3.822274116,-3.327628297,1496,333,364,1228,939,790,166,229,1358,1006,1216,452,1363,117,595,640,1238,260,2,569,218,308,753,462,546,1189,584,29,715,222,-1.726567257,-1.505395294,-1.684741042,-1.778137204,-1.721489566,-2.394477238,-0.855585745,-1.726567257,-1.167525906,-2.020973782,-1.765501018,-1.107439108,-2.068826356,-2.111448645,-1.357485488,-2.087637354,-1.44737099,-2.183293065,-1.746519561,-1.046522188,-1.446164794,-1.453802754,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-1.187106789,-1.746519561,-1.535929938,-1.787220046,471,330,1276,1209,574,344,510,471,437,257,1249,452,949,5,594,883,1336,260,2,525,569,500,456,454,561,1033,575,2,240,868
9,-4.835019794,-2.85930373,-3.264675288,-3.934880415,-2.465218994,-1.619171168,-3.970421348,-3.155758757,-2.794540844,-3.649585751,-5.309655539,-3.558144724,-1.883911961,-2.763596077,-2.750403472,-4.104138686,-1.568724126,-3.79609895,-2.907530814,-2.490649139,-2.091337993,-2.656308399,-1.190036935,-2.738776571,-1.486347765,-1.778137204,-1.37287223,-1.607698427,-2.373921283,-3.236064716,221,787,860,1233,645,459,1469,164,1441,869,1051,1362,591,597,588,130,585,453,1222,486,995,849,482,1458,516,1209,578,109,1266,1116,-1.726567257,-1.505395294,-1.684741042,-1.778137204,-1.721489566,-1.619171168,-0.855585745,-1.726567257,-1.167525906,-2.020973782,-1.765501018,-1.107439108,-1.883911961,-2.111448645,-1.357485488,-2.087637354,-1.44737099,-2.183293065,-1.746519561,-1.046522188,-1.446164794,-1.453802754,-1.190036935,-1.088269678,-1.22923196,-1.778137204,-1.187106789,-1.607698427,-1.535929938,-1.787220046,471,330,1276,1209,574,459,510,471,437,257,1249,452,591,5,594,883,1336,260,2,525,569,500,482,454,561,1209,575,109,240,868
