,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281,-1.726567257,-2.685571282,-3.452429316,-3.408025199,-2.526125894,-4.089999079,-2.359948494,-2.724778868,-2.93334756,-2.020973782,-3.919886931,-2.763333919,-2.852517706,-2.111448645,-3.216079525,-2.3012431,-2.7407068,-6.376416183,-3.621409846,-3.435310549,-3.154588477,-4.264387083,-2.032532425,-1.454852697,-1.22923196,-2.949145273,-2.900637101,-4.855882376,-2.843558326,-3.261995081,471,91,719,851,897,656,24,547,1237,257,633,1122,1160,5,1288,906,123,1367,1482,953,916,898,122,444,561,1495,841,746,780,281
1,-2.277669551,-2.166666828,-3.451422433,-3.382414551,-3.244045952,-2.580250803,-4.138612268,-2.214383989,-1.167525906,-2.842459146,-4.345793223,-1.622663376,-2.461065703,-3.488294796,-4.470787134,-4.470787134,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-2.418348368,-3.08528241,-3.979570249,-3.634311461,-2.833695005,-1.787220046,9,75,1436,816,577,931,1348,984,437,757,56,576,667,754,793,793,1149,654,522,121,312,528,456,454,905,657,48,727,814,868,-1.726567257,-2.166666828,-3.451422433,-3.382414551,-2.526125894,-2.580250803,-2.359948494,-2.214383989,-1.167525906,-2.020973782,-3.919886931,-1.622663376,-2.461065703,-2.111448645,-3.216079525,-2.3012431,-2.547119373,-2.460220484,-2.772386532,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.949145273,-2.900637101,-3.634311461,-2.833695005,-1.787220046,471,75,1436,816,897,931,24,984,437,257,633,576,667,5,1288,906,1149,654,522,121,312,528,456,454,561,1495,841,727,814,868
2,-3.382358037,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-3.144467252,-1.37287223,-3.586577109,-2.218696223,-2.383915279,-1.837470279,-2.185928562,-2.068826356,-2.748252355,-1.564578851,-2.665701271,-2.922918724,-2.630398745,-2.703909589,-2.166343107,-2.422481024,-5.470209928,-2.546114326,-2.632914053,-2.552642023,-2.505702399,-2.073646978,-1.925582374,-6.430851774,-3.68181731,1499,1264,1276,919,1463,822,578,712,51,992,1245,88,949,749,527,103,46,322,1493,174,1282,911,400,596,350,1033,1334,0,1364,63,-1.726567257,-1.604852714,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-2.547119373,-2.460220484,-2.703909589,-1.84968798,-2.176781929,-3.209907129,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-2.833695005,-1.787220046,471,1264,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,1149,654,1493,121,312,528,456,454,561,1033,1334,0,814,868
3,-2.399363593,-1.505395294,-2.541779335,-5.173172912,-4.52082021,-2.664550546,-2.954290501,-2.976196142,-1.284082634,-3.657507088,-2.004604151,-2.924568119,-5.014799718,-2.509692193,-4.733663896,-3.122049631,-1.947962141,-2.38521955,-4.066660563,-1.046522188,-6.312871604,-2.914396274,-2.40942878,-2.528392066,-2.956042002,-3.877797257,-2.773608296,-3.89449011,-1.535929938,-4.140077836,54,330,69,1042,1474,669,937,638,579,1170,1306,907,1243,539,876,346,30,1349,726,525,1394,871,612,443,1411,415,902,918,240,1084,-1.726567257,-1.505395294,-1.684741042,-2.928561743,-2.507583311,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-2.020973782,-1.837470279,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-2.3012431,-1.947962141,-2.38521955,-2.703909589,-1.046522188,-2.176781929,-2.914396274,-2.014074416,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,919,1463,931,578,984,437,257,1245,576,949,5,527,906,30,1349,1493,525,312,871,456,454,561,1033,1334,0,240,868
4,-2.700908612,-3.341805615,-3.620341535,-2.455150949,-2.420911509,-3.265091036,-2.418348368,-2.603177878,-1.568724126,-1.796450776,-1.770638011,-2.610309899,-2.762618006,-2.613039239,-3.308759458,-1.357485488,-2.527454603,-2.510524419,-2.93334756,-3.575126186,-3.983281265,-3.418653701,-0.841742081,-2.0329023,-3.303979315,-2.663973826,-3.550645527,-3.983281265,-2.030039708,-2.648067597,472,644,806,43,650,811,905,1109,585,162,1215,383,412,370,810,594,217,1117,1237,882,629,729,465,1221,562,1154,623,629,45,307,-1.726567257,-1.505395294,-1.684741042,-2.455150949,-2.420911509,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-2.068826356,-2.111448645,-1.564578851,-1.357485488,-1.947962141,-2.38521955,-2.703909589,-1.046522188,-2.176781929,-2.914396274,-0.841742081,-1.088269678,-1.22923196,-2.505702399,-2.073646978,-1.925582374,-1.535929938,-1.787220046,471,330,1276,43,650,931,578,984,437,162,1215,576,949,5,527,594,30,1349,1493,525,312,871,465,454,561,1033,1334,0,240,868
5,-4.203611238,-2.448246101,-2.801451105,-3.599753905,-3.236064716,-2.589785244,-2.767377611,-4.066660563,-4.137481208,-3.471836996,-1.792284032,-3.900274185,-5.378637948,-2.000671363,-1.77851523,-2.047727013,-2.552841765,-2.842357466,-2.030277331,-2.679633741,-3.385648507,-4.327013162,-3.228409924,-1.783497524,-1.622663376,-1.68565406,-1.615084971,-2.724432769,-1.84968798,-1.783497524,476,932,22,1108,1116,1217,1185,726,583,102,1311,1029,506,245,339,990,610,1302,17,1345,1425,678,722,429,576,1318,151,1414,121,429,-1.726567257,-1.505395294,-1.684741042,-2.455150949,-2.420911509,-2.580250803,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-2.38521955,-2.030277331,-1.046522188,-2.176781929,-2.914396274,-0.841742081,-1.088269678,-1.22923196,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,471,330,1276,43,650,931,578,984,437,162,1215,576,949,245,527,594,30,1349,17,525,312,871,465,454,561,1318,151,0,240,429
6,-1.523758158,-4.561327108,-2.526506837,-4.207838315,-2.703909589,-2.229734578,-2.823488378,-2.876824903,-3.067646035,-5.559679346,-1.817136419,-2.456939442,-3.539896464,-2.842459146,-3.490114269,-2.470431414,-5.425945389,-1.888531482,-2.516285495,-2.757187326,-2.548995359,-2.57558601,-2.946238406,-2.535335757,-1.883911961,-2.044329474,-4.120414233,-2.916522658,-2.658965685,-3.453945665,473,142,817,1166,1493,20,282,435,446,521,1265,982,1383,757,87,64,1370,546,647,392,232,1432,886,70,591,977,914,163,247,1438,-1.523758158,-1.505395294,-1.684741042,-2.455150949,-2.420911509,-2.229734578,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-2.068826356,-2.000671363,-1.564578851,-1.357485488,-1.947962141,-1.888531482,-2.030277331,-1.046522188,-2.176781929,-2.57558601,-0.841742081,-1.088269678,-1.22923196,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,473,330,1276,43,650,20,578,984,437,162,1215,576,949,245,527,594,30,546,17,525,312,1432,465,454,561,1318,151,0,240,429
7,-3.338945391,-1.187246356,-3.692037081,-2.481611614,-3.06197083,-2.734908155,-4.048592401,-3.118298538,-4.944765107,-2.256578762,-1.886599139,-2.116158923,-2.892041431,-1.770638011,-2.790665403,-4.673213588,-2.377005665,-1.786808188,-3.289906505,-2.161239156,-2.911407425,-3.208779255,-2.743627325,-2.069326512,-0.983763689,-2.311040819,-2.46151054,-2.848999539,-2.552815848,-3.218611415,478,511,104,10,1060,820,430,1434,438,414,1201,947,922,1215,1405,1363,39,319,1191,328,666,988,1412,83,563,699,604,1119,175,1419,-1.523758158,-1.187246356,-1.684741042,-2.455150949,-2.420911509,-2.229734578,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-2.068826356,-1.770638011,-1.564578851,-1.357485488,-1.947962141,-1.786808188,-2.030277331,-1.046522188,-2.176781929,-2.57558601,-0.841742081,-1.088269678,-0.983763689,-1.68565406,-1.615084971,-1.925582374,-1.535929938,-1.783497524,473,511,1276,43,650,20,578,984,437,162,1215,576,949,1215,527,594,30,319,17,525,312,1432,465,454,563,1318,151,0,240,429
8,-4.063243392,-0.787407988,-2.349125574,-2.715908275,-4.944765107,-2.559928666,-2.747132694,-2.337824849,-4.844223443,-2.013458888,-4.894489858,-4.523893214,-2.340352174,-2.773608296,-2.46637281,-3.244045952,-2.296886136,-1.380740308,-2.170121994,-3.303327998,-2.560852854,-2.753578723,-4.776176741,-2.494206912,-2.355503102,-2.166666828,-2.740149933,-5.232848053,-1.392533274,-2.947903475,888,406,293,329,438,1044,873,639,798,118,1213,828,605,902,1270,577,58,331,411,498,354,364,1376,205,1281,75,1158,1350,425,1208,-1.523758158,-0.787407988,-1.684741042,-2.455150949,-2.420911509,-2.229734578,-1.37287223,-2.214383989,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-2.068826356,-1.770638011,-1.564578851,-1.357485488,-1.947962141,-1.380740308,-2.030277331,-1.046522188,-2.176781929,-2.57558601,-0.841742081,-1.088269678,-0.983763689,-1.68565406,-1.615084971,-1.925582374,-1.392533274,-1.783497524,473,406,1276,43,650,20,578,984,437,162,1215,576,949,1215,527,594,30,331,17,525,312,1432,465,454,563,1318,151,0,425,429
9,-2.625099285,-1.841845334,-2.835437429,-3.565394457,-2.824165562,-1.035634773,-3.264675288,-1.967814325,-2.725151732,-2.435386778,-4.781035984,-2.743296947,-1.44737099,-1.653126845,-2.833695005,-4.717483959,-2.886803707,-1.670507953,-2.022006337,-3.215335703,-1.802059269,-3.4402566,-5.087691667,-2.676821107,-3.515393774,-3.951881251,-3.68181731,-5.087691667,-3.418653701,-2.976477295,1139,287,1396,23,267,555,860,256,1409,921,1393,708,1336,1313,814,1342,938,1279,544,745,1239,1410,1052,349,770,101,63,1052,729,804,-1.523758158,-0.787407988,-1.684741042,-2.455150949,-2.420911509,-1.035634773,-1.37287223,-1.967814325,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-1.44737099,-1.653126845,-1.564578851,-1.357485488,-1.947962141,-1.380740308,-2.022006337,-1.046522188,-1.802059269,-2.57558601,-0.841742081,-1.088269678,-0.983763689,-1.68565406,-1.615084971,-1.925582374,-1.392533274,-1.783497524,473,406,1276,43,650,555,578,256,437,162,1215,576,1336,1313,527,594,30,331,544,525,1239,1432,465,454,563,1318,151,0,425,429
10,-3.896984679,-1.383831278,-3.261198657,-2.68515856,-1.604971994,-3.162482264,-2.097782719,-2.097782719,-3.102398778,-2.240566925,-2.101045251,-4.207838315,-2.702369679,-2.599481677,-3.900781694,-3.568053011,-2.457734403,-2.886431342,-2.49077362,-0.817413318,-4.004876537,-1.294784667,-2.750403472,-2.3246669,-2.0329023,-3.340671939,-2.452215964,-3.156241701,-1.231739613,-2.224414889,448,512,785,21,139,1041,1292,1292,283,460,1483,1166,261,1144,3,1327,269,178,1326,405,378,455,588,505,1221,863,967,29,570,1251,-1.523758158,-0.787407988,-1.684741042,-2.455150949,-1.604971994,-1.035634773,-1.37287223,-1.967814325,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-1.44737099,-1.653126845,-1.564578851,-1.357485488,-1.947962141,-1.380740308,-2.022006337,-0.817413318,-1.802059269,-1.294784667,-0.841742081,-1.088269678,-0.983763689,-1.68565406,-1.615084971,-1.925582374,-1.231739613,-1.783497524,473,406,1276,43,139,555,578,256,437,162,1215,576,1336,1313,527,594,30,331,544,405,1239,455,465,454,563,1318,151,0,570,429
11,-2.038833154,-3.586577109,-2.311040819,-3.717613894,-2.111822285,-1.209939441,-1.802059269,-3.341585862,-2.503109312,-3.204319839,-4.361752416,-2.819778958,-2.819778958,-5.309655539,-4.03134356,-2.632914053,-3.153128536,-3.839526203,-4.345793223,-2.618437703,-5.434687542,-4.203611238,-2.121215469,-1.917643495,-3.817921803,-3.285126678,-2.946238406,-2.214383989,-2.51445369,-2.736251519,42,712,699,318,19,533,1239,1123,325,1488,1498,901,901,1051,1403,596,1062,1477,56,1447,896,476,388,169,228,1058,886,984,28,558,-1.523758158,-0.787407988,-1.684741042,-2.455150949,-1.604971994,-1.035634773,-1.37287223,-1.967814325,-1.167525906,-1.796450776,-1.770638011,-1.622663376,-1.44737099,-1.653126845,-1.564578851,-1.357485488,-1.947962141,-1.380740308,-2.022006337,-0.817413318,-1.802059269,-1.294784667,-0.841742081,-1.088269678,-0.983763689,-1.68565406,-1.615084971,-1.925582374,-1.231739613,-1.783497524,473,406,1276,43,139,555,578,256,437,162,1215,576,1336,1313,527,594,30,331,544,405,1239,455,465,454,563,1318,151,0,570,429
12,-1.336391199,-4.028088465,-1.712212228,-2.926260157,-2.237985897,-1.22923196,-1.523758158,-2.672013448,-2.876824903,-2.950302715,-5.019939254,-1.187106789,-2.725461693,-1.847514045,-1.226624268,-1.629655419,-2.252370443,-2.2902191,-1.977146038,-0.787407988,-2.47442965,-1.612793476,-1.726567257,-1.097475451,-1.292139175,-3.216079525,-1.577060144,-2.375419448,-1.622663376,-2.485891917,548,359,1261,194,140,561,473,196,435,507,1026,575,1347,1295,480,586,60,229,155,406,952,531,471,450,503,1288,152,50,576,394,-1.336391199,-0.787407988,-1.684741042,-2.455150949,-1.604971994,-1.035634773,-1.37287223,-1.967814325,-1.167525906,-1.796450776,-1.770638011,-1.187106789,-1.44737099,-1.653126845,-1.226624268,-1.357485488,-1.947962141,-1.380740308,-1.977146038,-0.787407988,-1.802059269,-1.294784667,-0.841742081,-1.088269678,-0.983763689,-1.68565406,-1.577060144,-1.925582374,-1.231739613,-1.783497524,548,406,1276,43,139,555,578,256,437,162,1215,575,1336,1313,480,594,30,331,155,406,1239,455,465,454,563,1318,152,0,570,429
13,-1.527670643,-0.817413318,-1.900505481,-3.500787283,-3.686633442,-1.453802754,-3.244045952,-1.613667382,-1.035634773,-2.926260157,-2.700908612,-1.888531482,-1.420598558,-4.197857977,-2.130371695,-1.883911961,-1.638313749,-0.817413318,-1.762830329,-2.256578762,-2.490649139,-1.726567257,-1.1170055,-1.3948455,-1.255673572,-1.660071492,-3.155758757,-1.857846356,-4.137481208,-1.660071492,458,405,1275,493,145,500,577,106,555,194,472,546,1339,1118,490,591,31,405,177,414,486,471,466,451,495,718,164,4,583,718,-1.336391199,-0.787407988,-1.684741042,-2.455150949,-1.604971994,-1.035634773,-1.37287223,-1.613667382,-1.035634773,-1.796450776,-1.770638011,-1.187106789,-1.420598558,-1.653126845,-1.226624268,-1.357485488,-1.638313749,-0.817413318,-1.762830329,-0.787407988,-1.802059269,-1.294784667,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.857846356,-1.231739613,-1.660071492,548,406,1276,43,139,555,578,106,555,162,1215,575,1339,1313,480,594,31,405,177,406,1239,455,465,454,563,718,152,4,570,718
14,-3.381361841,-2.150232076,-2.246285609,-3.156241701,-2.570903617,-1.665460845,-2.910977072,-3.783511064,-2.530040267,-2.176781929,-4.717483959,-2.082912305,-1.437247302,-4.835019794,-1.665460845,-2.530040267,-2.507286675,-2.403631946,-2.182782322,-2.507105798,-2.161239156,-2.150232076,-1.105919234,-1.137756195,-1.209939441,-1.717685128,-1.775534557,-1.956495686,-3.709517278,-3.928848197,173,489,1274,29,149,559,1223,1229,286,312,1342,950,1344,221,559,286,1219,340,1227,375,328,489,540,469,533,1168,150,964,441,853,-1.336391199,-0.787407988,-1.684741042,-2.455150949,-1.604971994,-1.035634773,-1.37287223,-1.613667382,-1.035634773,-1.796450776,-1.770638011,-1.187106789,-1.420598558,-1.653126845,-1.226624268,-1.357485488,-1.638313749,-0.817413318,-1.762830329,-0.787407988,-1.802059269,-1.294784667,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.857846356,-1.231739613,-1.660071492,548,406,1276,43,139,555,578,106,555,162,1215,575,1339,1313,480,594,31,405,177,406,1239,455,465,454,563,718,152,4,570,718
15,-1.37287223,-2.676821107,-1.765501018,-1.964904379,-2.783195534,-1.446164794,-4.137481208,-2.183293065,-2.00135444,-1.097475451,-5.32109943,-5.505019796,-2.679633741,-4.980311692,-2.772386532,-1.035634773,-2.210157852,-1.762848258,-1.726567257,-1.222262661,-3.040961603,-1.22923196,-2.022006337,-1.136735156,-1.035634773,-3.572207975,-3.225132199,-2.6345202,-2.529124587,-1.713964143,578,349,1249,343,735,569,583,260,270,450,1476,1211,1345,1496,522,555,635,492,471,564,1372,561,544,484,555,1303,1332,6,580,396,-1.336391199,-0.787407988,-1.684741042,-1.964904379,-1.604971994,-1.035634773,-1.37287223,-1.613667382,-1.035634773,-1.097475451,-1.770638011,-1.187106789,-1.420598558,-1.653126845,-1.226624268,-1.035634773,-1.638313749,-0.817413318,-1.726567257,-0.787407988,-1.802059269,-1.22923196,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.857846356,-1.231739613,-1.660071492,548,406,1276,343,139,555,578,106,555,450,1215,575,1339,1313,480,555,31,405,471,406,1239,561,465,454,563,718,152,4,570,718
16,-0.983763689,-3.581368712,-1.670507953,-2.046347906,-1.743534192,-0.983763689,-1.336391199,-1.607698427,-3.850665662,-2.014074416,-1.749968182,-1.721489566,-1.068085931,-1.762830329,-1.097475451,-1.446164794,-1.763972227,-2.764690378,-2.011195368,-0.809784114,-4.115194023,-1.453802754,-1.654002838,-2.045065828,-1.252695191,-2.061364175,-1.660252794,-1.775534557,-1.476658334,-3.219822436,563,494,1279,313,289,563,548,109,445,456,1206,574,1335,177,450,569,34,384,170,409,374,500,496,485,519,99,154,150,424,688,-0.983763689,-0.787407988,-1.670507953,-1.964904379,-1.604971994,-0.983763689,-1.336391199,-1.607698427,-1.035634773,-1.097475451,-1.749968182,-1.187106789,-1.068085931,-1.653126845,-1.097475451,-1.035634773,-1.638313749,-0.817413318,-1.726567257,-0.787407988,-1.802059269,-1.22923196,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.775534557,-1.231739613,-1.660071492,563,406,1279,343,139,563,548,109,555,450,1206,575,1335,1313,450,555,31,405,471,406,1239,561,465,454,563,718,152,150,570,718
17,-3.10138966,-2.900439502,-1.604852714,-2.064843514,-3.38735094,-1.222262661,-0.983763689,-2.385335777,-1.665460845,-0.841742081,-3.02775905,-1.352127418,-2.767377611,-2.0329023,-1.612793476,-0.855585745,-1.543835604,-2.308146031,-1.710815227,-1.255673572,-3.10138966,-1.628277247,-2.001149314,-1.726567257,-1.915875297,-2.012576121,-2.677722652,-1.947962141,-1.035634773,-1.717685128,552,369,1264,373,179,564,563,119,559,465,616,584,1185,1221,531,510,181,419,501,495,552,556,336,471,233,930,197,30,555,1168,-0.983763689,-0.787407988,-1.604852714,-1.964904379,-1.604971994,-0.983763689,-0.983763689,-1.607698427,-1.035634773,-0.841742081,-1.749968182,-1.187106789,-1.068085931,-1.653126845,-1.097475451,-0.855585745,-1.543835604,-0.817413318,-1.710815227,-0.787407988,-1.802059269,-1.22923196,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.775534557,-1.035634773,-1.660071492,563,406,1264,343,139,563,563,109,555,465,1206,575,1335,1313,450,510,181,405,501,406,1239,561,465,454,563,718,152,150,555,718
18,-1.284082634,-1.476234864,-1.886599139,-2.161239156,-2.541996764,-1.527670643,-2.853518876,-1.572944562,-1.137756195,-1.226624268,-2.673667257,-1.336391199,-2.783195534,-2.128068623,-2.49027417,-1.486347765,-4.411512308,-3.078559671,-1.955791447,-1.612793476,-1.749968182,-3.303979315,-2.960033756,-1.453802754,-3.568053011,-2.901717628,-2.548995359,-2.317353283,-1.906863518,-3.328270656,579,481,1201,328,49,458,278,105,469,480,651,548,735,201,517,516,86,413,12,531,1206,562,112,500,1327,607,232,960,321,838,-0.983763689,-0.787407988,-1.604852714,-1.964904379,-1.604971994,-0.983763689,-0.983763689,-1.572944562,-1.035634773,-0.841742081,-1.749968182,-1.187106789,-1.068085931,-1.653126845,-1.097475451,-0.855585745,-1.543835604,-0.817413318,-1.710815227,-0.787407988,-1.749968182,-1.22923196,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.775534557,-1.035634773,-1.660071492,563,406,1264,343,139,563,563,105,555,465,1206,575,1335,1313,450,510,181,405,501,406,1206,561,465,454,563,718,152,150,555,718
19,-1.541177265,-0.809784114,-1.221063603,-2.121215469,-2.575197912,-1.845800125,-3.45116419,-1.557633893,-2.063259193,-1.396835592,-2.907530814,-2.197296078,-4.557822654,-2.910977072,-2.835773903,-1.383831278,-3.812731421,-2.705229335,-3.858233962,-1.573660201,-2.950302715,-3.858233962,-1.51427274,-2.835773903,-1.394284432,-2.015336625,-3.906686838,-3.869028438,-2.823488378,-1.68565406,462,409,1231,388,694,549,1214,107,447,534,1222,542,1459,1223,457,512,861,366,479,526,507,479,390,457,593,900,18,1012,282,1318,-0.983763689,-0.787407988,-1.221063603,-1.964904379,-1.604971994,-0.983763689,-0.983763689,-1.557633893,-1.035634773,-0.841742081,-1.749968182,-1.187106789,-1.068085931,-1.653126845,-1.097475451,-0.855585745,-1.543835604,-0.817413318,-1.710815227,-0.787407988,-1.749968182,-1.22923196,-0.841742081,-1.088269678,-0.983763689,-1.660071492,-1.577060144,-1.775534557,-1.035634773,-1.660071492,563,406,1231,343,139,563,563,107,555,465,1206,575,1335,1313,450,510,181,405,501,406,1206,561,465,454,563,718,152,150,555,718
20,-1.22923196,-1.136735156,-1.360430417,-4.13914027,-2.573497819,-2.276674857,-1.292139175,-2.030039708,-3.10138966,-1.1170055,-0.880816735,-1.37287223,-3.655895389,-1.884704043,-1.1170055,-1.046522188,-1.915411176,-0.999221865,-1.888531482,-1.628277247,-2.184154944,-1.710815227,-1.873373479,-0.841742081,-2.276674857,-6.884149681,-1.564297002,-2.961094455,-0.841742081,-1.974750003,561,484,1234,41,94,568,503,45,552,466,515,578,1020,166,466,525,192,420,546,556,327,501,165,465,568,1351,1321,1006,465,399,-0.983763689,-0.787407988,-1.221063603,-1.964904379,-1.604971994,-0.983763689,-0.983763689,-1.557633893,-1.035634773,-0.841742081,-0.880816735,-1.187106789,-1.068085931,-1.653126845,-1.097475451,-0.855585745,-1.543835604,-0.817413318,-1.710815227,-0.787407988,-1.749968182,-1.22923196,-0.841742081,-0.841742081,-0.983763689,-1.660071492,-1.564297002,-1.775534557,-0.841742081,-1.660071492,563,406,1231,343,139,563,563,107,555,465,515,575,1335,1313,450,510,181,405,501,406,1206,561,465,465,563,718,1321,150,465,718
21,-1.762848258,-2.679633741,-0.977803271,-4.203611238,-2.797929649,-1.394284432,-1.915875297,-2.051619097,-1.183318443,-1.105919234,-3.489243477,-3.454914835,-2.330325331,-2.255537759,-2.601849748,-1.097475451,-3.423740698,-2.876824903,-1.187106789,-1.665460845,-3.549690161,-1.035634773,-1.775534557,-2.022006337,-3.572207975,-2.912732012,-1.838207335,-1.791082144,-1.226624268,-2.741478356,492,1345,1230,476,1197,593,233,259,474,540,1268,864,994,690,385,450,1406,435,575,559,1011,555,150,544,1303,750,195,180,480,427,-0.983763689,-0.787407988,-0.977803271,-1.964904379,-1.604971994,-0.983763689,-0.983763689,-1.557633893,-1.035634773,-0.841742081,-0.880816735,-1.187106789,-1.068085931,-1.653126845,-1.097475451,-0.855585745,-1.543835604,-0.817413318,-1.187106789,-0.787407988,-1.749968182,-1.035634773,-0.841742081,-0.841742081,-0.983763689,-1.660071492,-1.564297002,-1.775534557,-0.841742081,-1.660071492,563,406,1230,343,139,563,563,107,555,465,515,575,1335,1313,450,510,181,405,575,406,1206,555,465,465,563,718,1321,150,465,718
22,-1.476234864,-2.902979556,-1.51508844,-3.961064474,-3.154225439,-2.372763177,-1.179571447,-2.135673085,-3.706490344,-1.088269678,-1.523758158,-0.983763689,-2.352872931,-3.663406842,-1.088269678,-4.323377456,-2.835613517,-2.903826857,-2.127573991,-3.122049631,-2.269005996,-2.222250075,-1.088269678,-1.478772318,-3.434478776,-1.873373479,-2.178409387,-2.833618908,-2.552188462,-2.02872596,481,1184,1232,341,128,599,518,961,464,454,473,563,996,209,454,461,133,127,946,346,358,204,454,529,598,165,200,972,398,426,-0.983763689,-0.787407988,-0.977803271,-1.964904379,-1.604971994,-0.983763689,-0.983763689,-1.557633893,-1.035634773,-0.841742081,-0.880816735,-0.983763689,-1.068085931,-1.653126845,-1.088269678,-0.855585745,-1.543835604,-0.817413318,-1.187106789,-0.787407988,-1.749968182,-1.035634773,-0.841742081,-0.841742081,-0.983763689,-1.660071492,-1.564297002,-1.775534557,-0.841742081,-1.660071492,563,406,1230,343,139,563,563,107,555,465,515,563,1335,1313,454,510,181,405,575,406,1206,555,465,465,563,718,1321,150,465,718
